measurement_time,x_axis,y_axis,z_axis
5288.77,-191,803,853
5288.78,-261,790,755
5288.79,-384,848,806
5288.8,-489,846,774
5288.81,-586,770,772
5288.83,-625,818,768
5288.84,-549,804,816
5288.85,-653,642,826
5288.86,-761,665,830
5288.87,-893,780,805
5288.88,-1027,761,922
5288.89,-1078,842,905
5288.9,-1119,745,783
5288.91,-1055,730,940
5288.92,-1306,889,765
5288.93,-1348,702,930
5288.94,-1362,808,706
5288.95,-1485,781,929
5288.97,-1524,753,783
5288.98,-1648,763,871
5288.99,-1652,713,788
5289.0,-1674,771,812
5289.01,-1781,780,844
5289.02,-1821,762,907
5289.03,-1888,830,861
5289.04,-1842,702,876
5289.05,-1895,755,915
5289.06,-1942,788,1031
5289.07,-1973,747,875
5289.08,-2040,812,968
5289.1,-2039,821,872
5289.11,-2161,807,955
5289.119,-2119,744,866
5289.13,-2147,711,917
5289.14,-2221,753,859
5289.15,-2287,778,884
5289.16,-2411,660,919
5289.17,-2450,714,865
5289.18,-2520,675,911
5289.19,-2535,728,852
5289.2,-2610,671,979
5289.21,-2630,737,803
5289.22,-2678,672,887
5289.23,-2755,720,925
5289.24,-2716,706,831
5289.25,-2751,761,1001
5289.26,-2758,709,761
5289.27,-2783,708,955
5289.28,-2843,736,810
5289.29,-2824,700,906
5289.3,-2880,836,914
5289.31,-2888,671,865
5289.32,-2912,704,944
5289.33,-2978,703,782
5289.34,-3104,721,981
5289.36,-3125,732,941
5289.37,-3125,724,819
5289.38,-3199,643,882
5289.39,-3308,692,959
5289.4,-3319,695,761
5289.41,-3416,663,936
5289.42,-3430,641,791
5289.43,-3484,653,934
5289.44,-3471,673,764
5289.45,-3627,670,864
5289.46,-3617,666,826
5289.47,-3653,601,852
5289.49,-3677,656,944
5289.5,-3680,755,880
5289.51,-3650,611,843
5289.52,-3712,727,874
5289.53,-3715,611,827
5289.54,-3778,599,808
5289.55,-3786,662,823
5289.56,-4104,735,770
5289.57,-3313,631,890
5289.58,-3825,524,948
5289.59,-3958,632,660
5289.6,-4156,650,994
5289.61,-4152,636,658
5289.63,-4291,604,796
5289.64,-4372,602,840
5289.65,-4421,647,936
5289.66,-4368,579,706
5289.67,-4466,637,880
5289.68,-4408,581,756
5289.69,-4477,559,863
5289.7,-4489,623,743
5289.71,-4576,575,976
5289.72,-4533,598,696
5289.73,-4575,587,938
5289.74,-4577,537,725
5289.75,-4626,597,897
5289.759,-4651,567,732
5289.77,-4614,572,682
5289.78,-4723,638,973
5289.79,-4670,483,583
5289.8,-4717,556,763
5289.81,-4738,587,885
5289.82,-4722,481,714
5289.83,-4723,548,713
5289.84,-4735,452,661
5289.85,-4776,488,683
5289.86,-4742,627,612
5289.87,-4795,516,809
5289.89,-4800,511,676
5289.9,-4840,626,779
5289.91,-4882,617,816
5289.92,-4981,441,750
5289.93,-5060,479,618
5289.94,-5209,445,822
5289.95,-5162,458,539
5289.96,-5197,460,809
5289.97,-5161,447,603
5289.98,-5127,399,677
5289.99,-5195,496,743
5290.0,-5135,457,597
5290.02,-5147,461,730
5290.03,-5086,492,578
5290.04,-5112,486,654
5290.05,-5097,429,627
5290.06,-5073,411,623
5290.07,-5098,416,639
5290.08,-5092,449,629
5290.09,-5073,435,624
5290.1,-5113,360,675
5290.11,-5056,425,556
5290.12,-5035,395,583
5290.13,-5006,340,540
5290.14,-5023,411,617
5290.16,-4962,395,572
5290.17,-4974,402,582
5290.18,-4989,366,545
5290.19,-4960,328,486
5290.2,-4938,332,490
5290.21,-4918,405,569
5290.22,-4896,323,518
5290.23,-4934,298,529
5290.24,-4897,416,482
5290.25,-4887,282,492
5290.26,-4884,338,537
5290.27,-4849,350,383
5290.28,-4858,323,553
5290.29,-4810,345,338
5290.3,-4831,286,544
5290.31,-4791,304,430
5290.32,-4786,380,449
5290.33,-4806,191,503
5290.34,-4715,245,297
5290.35,-4771,346,568
5290.36,-4710,275,288
5290.37,-4735,343,495
5290.38,-4685,191,404
5290.39,-4671,296,414
5290.399,-4696,357,377
5290.42,-4650,262,390
5290.43,-4637,288,359
5290.44,-4640,292,376
5290.45,-4604,270,340
5290.46,-4614,255,388
5290.47,-4590,276,295
5290.48,-4598,252,356
5290.49,-4603,234,326
5290.5,-4566,242,287
5290.51,-4581,245,398
5290.52,-4529,280,202
5290.54,-4541,210,366
5290.55,-4523,240,290
5290.56,-4478,190,263
5290.57,-4525,225,357
5290.58,-4496,267,268
5290.59,-4464,165,247
5290.6,-4469,178,276
5290.61,-4447,153,161
5290.62,-4443,209,301
5290.63,-4418,190,155
5290.64,-4418,165,229
5290.65,-4420,154,203
5290.66,-4404,179,141
5290.67,-4385,207,222
5290.69,-4372,156,227
5290.7,-4358,208,139
5290.71,-4346,191,229
5290.72,-4337,184,89
5290.73,-4329,173,188
5290.74,-4318,152,149
5290.75,-4288,128,111
5290.76,-4328,183,173
5290.77,-4281,127,98
5290.78,-4290,176,148
5290.79,-4277,150,183
5290.8,-4212,77,83
5290.81,-4317,166,224
5290.82,-4227,125,55
5290.83,-4280,163,134
5290.84,-4203,143,43
5290.85,-4216,132,50
5290.86,-4191,148,49
5290.87,-4201,140,110
5290.88,-4142,98,22
5290.89,-4177,38,107
5290.9,-4132,133,33
5290.91,-4139,74,47
5290.92,-4130,86,49
5290.93,-4119,52,20
5290.95,-4084,110,-35
5290.96,-4095,58,2
5290.97,-4078,50,-44
5290.98,-4088,75,-49
5290.99,-4060,52,-44
5291.0,-4060,52,-45
5291.01,-4040,67,-52
5291.02,-4034,42,-22
5291.03,-4024,19,-76
5291.039,-4019,82,-46
5291.06,-4019,46,-65
5291.07,-4005,35,-50
5291.08,-3995,56,-175
5291.09,-3998,18,-102
5291.1,-3999,22,-131
5291.11,-3947,37,-166
5291.12,-3938,16,-149
5291.13,-3964,0,-167
5291.14,-3957,60,-115
5291.15,-3961,43,-174
5291.16,-3918,10,-165
5291.17,-3919,2,-182
5291.18,-3877,18,-185
5291.19,-3931,30,-173
5291.2,-3901,-20,-243
5291.22,-3883,-1,-255
5291.23,-3846,-3,-165
5291.24,-3861,0,-289
5291.25,-3880,-80,-188
5291.26,-3839,-28,-283
5291.27,-3846,-23,-232
5291.28,-3846,-16,-231
5291.29,-3796,-22,-298
5291.3,-3818,-87,-239
5291.31,-3790,-16,-331
5291.32,-3804,-8,-289
5291.33,-3773,-69,-268
5291.34,-3748,-53,-335
5291.35,-3779,-63,-307
5291.36,-3730,-46,-349
5291.37,-3738,-66,-348
5291.38,-3767,-108,-316
5291.39,-3724,-45,-367
5291.4,-3734,-53,-335
5291.41,-3715,-94,-401
5291.42,-3726,-73,-350
5291.43,-3699,-117,-374
5291.44,-3696,-74,-388
5291.45,-3677,-45,-408
5291.46,-3690,-133,-355
5291.48,-3640,-70,-425
5291.49,-3645,-147,-390
5291.5,-3597,-98,-448
5291.51,-3614,-113,-414
5291.52,-3626,-93,-447
5291.53,-3582,-151,-451
5291.54,-3571,-128,-468
5291.55,-3566,-121,-487
5291.56,-3561,-114,-468
5291.57,-3568,-130,-481
5291.59,-3546,-153,-441
5291.6,-3547,-145,-496
5291.61,-3532,-135,-487
5291.62,-3558,-131,-486
5291.63,-3513,-144,-513
5291.64,-3493,-135,-545
5291.65,-3519,-153,-469
5291.66,-3490,-145,-542
5291.67,-3487,-161,-500
5291.679,-3489,-134,-582
5291.69,-3482,-151,-510
5291.7,-3468,-183,-600
5291.71,-3469,-164,-580
5291.72,-3413,-166,-578
5291.73,-3441,-163,-542
5291.75,-3442,-162,-553
5291.76,-3426,-174,-580
5291.77,-3413,-222,-586
5291.78,-3438,-169,-588
5291.79,-3385,-198,-574
5291.8,-3400,-199,-626
5291.81,-3397,-177,-652
5291.82,-3368,-185,-644
5291.83,-3351,-220,-651
5291.84,-3367,-186,-608
5291.85,-3353,-171,-690
5291.86,-3363,-239,-597
5291.87,-3330,-203,-710
5291.88,-3329,-187,-640
5291.89,-3339,-209,-606
5291.9,-3321,-241,-703
5291.91,-3331,-244,-581
5291.92,-3299,-220,-719
5291.93,-3302,-204,-660
5291.94,-3286,-213,-695
5291.95,-3290,-219,-727
5291.96,-3255,-239,-709
5291.97,-3263,-232,-718
5291.98,-3236,-206,-698
5291.99,-3243,-262,-739
5292.01,-3237,-271,-726
5292.02,-3233,-292,-714
5292.03,-3205,-229,-732
5292.04,-3201,-291,-716
5292.05,-3233,-261,-691
5292.06,-3212,-240,-728
5292.07,-3205,-278,-737
5292.08,-3170,-267,-758
5292.09,-3176,-271,-767
5292.11,-3153,-275,-806
5292.12,-3143,-283,-768
5292.13,-3161,-341,-793
5292.14,-3136,-284,-826
5292.15,-3098,-308,-778
5292.16,-3157,-291,-824
5292.17,-3115,-319,-796
5292.18,-3126,-341,-768
5292.19,-3079,-268,-895
5292.2,-3095,-299,-770
5292.21,-3080,-334,-837
5292.22,-3063,-305,-850
5292.23,-3073,-345,-812
5292.24,-3045,-311,-922
5292.25,-3056,-314,-821
5292.26,-3044,-323,-845
5292.28,-3047,-304,-842
5292.29,-3014,-375,-922
5292.3,-3027,-349,-852
5292.31,-3002,-324,-966
5292.319,-2992,-371,-874
5292.33,-2983,-378,-930
5292.34,-2969,-386,-959
5292.35,-2966,-367,-934
5292.36,-2943,-378,-942
5292.37,-2960,-381,-909
5292.38,-2922,-409,-973
5292.39,-2921,-343,-966
5292.4,-2938,-404,-942
5292.41,-2901,-377,-977
5292.42,-2880,-326,-997
5292.43,-2875,-427,-934
5292.44,-2862,-384,-993
5292.45,-2867,-377,-978
5292.46,-2857,-428,-982
5292.47,-2843,-386,-1020
5292.48,-2840,-416,-1009
5292.49,-2836,-382,-986
5292.5,-2787,-418,-1064
5292.51,-2802,-443,-978
5292.52,-2785,-365,-1032
5292.54,-2790,-420,-997
5292.55,-2759,-418,-1069
5292.56,-2780,-446,-986
5292.57,-2773,-436,-1049
5292.58,-2764,-438,-1019
5292.59,-2765,-431,-1021
5292.6,-2738,-459,-1077
5292.61,-2739,-404,-1100
5292.63,-2728,-434,-1110
5292.64,-2718,-461,-1094
5292.65,-2723,-464,-1103
5292.66,-2727,-486,-1129
5292.67,-2725,-469,-1085
5292.68,-2720,-423,-1098
5292.69,-2718,-488,-1105
5292.7,-2713,-441,-1118
5292.71,-2709,-471,-1134
5292.72,-2707,-456,-1081
5292.73,-2724,-435,-1153
5292.74,-2710,-491,-1146
5292.75,-2705,-481,-1146
5292.76,-2671,-461,-1176
5292.77,-2707,-496,-1163
5292.78,-2688,-498,-1170
5292.79,-2685,-482,-1187
5292.81,-2666,-499,-1178
5292.82,-2664,-504,-1187
5292.83,-2675,-505,-1144
5292.84,-2627,-505,-1181
5292.85,-2645,-531,-1191
5292.86,-2638,-530,-1171
5292.87,-2646,-497,-1199
5292.88,-2635,-520,-1155
5292.89,-2646,-534,-1190
5292.9,-2660,-528,-1223
5292.91,-2639,-530,-1176
5292.92,-2629,-517,-1236
5292.93,-2633,-535,-1189
5292.94,-2639,-539,-1201
5292.95,-2624,-553,-1255
5292.959,-2628,-509,-1202
5292.97,-2634,-552,-1223
5292.98,-2643,-522,-1185
5292.99,-2645,-557,-1233
5293.0,-2642,-545,-1212
5293.01,-2635,-516,-1212
5293.02,-2620,-555,-1244
5293.03,-2619,-563,-1217
5293.04,-2603,-536,-1288
5293.05,-2611,-580,-1262
5293.07,-2592,-555,-1273
5293.08,-2598,-543,-1272
5293.09,-2590,-593,-1242
5293.1,-2586,-598,-1251
5293.11,-2588,-570,-1254
5293.12,-2590,-565,-1256
5293.13,-2603,-615,-1284
5293.14,-2592,-584,-1257
5293.16,-2573,-560,-1324
5293.17,-2571,-588,-1278
5293.18,-2567,-601,-1291
5293.19,-2564,-600,-1316
5293.2,-2566,-561,-1285
5293.21,-2563,-611,-1280
5293.22,-2540,-590,-1236
5293.23,-2550,-590,-1333
5293.24,-2538,-587,-1306
5293.25,-2538,-588,-1252
5293.26,-2553,-593,-1325
5293.27,-2570,-614,-1326
5293.28,-2539,-631,-1309
5293.29,-2535,-592,-1330
5293.3,-2530,-605,-1302
5293.31,-2536,-612,-1300
5293.32,-2525,-612,-1323
5293.34,-2516,-634,-1313
5293.35,-2520,-612,-1356
5293.36,-2516,-623,-1343
5293.37,-2522,-602,-1310
5293.38,-2509,-641,-1391
5293.39,-2499,-653,-1272
5293.4,-2478,-645,-1369
5293.41,-2509,-632,-1293
5293.42,-2489,-635,-1370
5293.43,-2459,-685,-1356
5293.44,-2463,-638,-1337
5293.45,-2463,-678,-1358
5293.46,-2478,-666,-1322
5293.47,-2449,-649,-1366
5293.48,-2466,-633,-1359
5293.49,-2455,-689,-1362
5293.5,-2470,-666,-1345
5293.51,-2446,-622,-1381
5293.52,-2445,-640,-1317
5293.53,-2433,-679,-1382
5293.54,-2432,-669,-1353
5293.55,-2449,-641,-1370
5293.56,-2416,-677,-1354
5293.57,-2419,-637,-1338
5293.58,-2428,-682,-1373
5293.599,-2424,-647,-1344
5293.61,-2435,-661,-1347
5293.62,-2404,-627,-1336
5293.63,-2399,-654,-1339
5293.64,-2401,-646,-1353
5293.65,-2409,-642,-1337
5293.66,-2379,-669,-1373
5293.68,-2382,-646,-1323
5293.69,-2380,-647,-1339
5293.7,-2394,-630,-1309
5293.71,-2363,-645,-1335
5293.72,-2355,-642,-1295
5293.73,-2356,-648,-1333
5293.74,-2377,-648,-1317
5293.75,-2349,-658,-1341
5293.76,-2351,-643,-1328
5293.77,-2349,-600,-1305
